COUNTY,COUNTYFP,1970_65_plus,1970_pop,1970_65_percent,1980_65_plus,1980_pop,1980_65_percent,1990_65_plus,1990_pop,1990_65_percent,2000_65_plus,2000_pop,2000_65_percent,2010_65_plus,2010_pop,2010_65_percent,2020_65_plus,2020_pop,2020_65_percent
Adams County,1,1512,9234,16.37,2306,13457,17.14,3034,15682,19.35,3903,18643,20.94,4899,20875,23.47,5957,20654,28.84
Ashland County,3,2647,16743,15.81,2888,16783,17.21,2905,16307,17.81,2684,16866,15.91,2567,16157,15.89,3409,16027,21.27
Barron County,5,5014,33955,14.77,6083,38730,15.71,6888,40750,16.9,7374,44963,16.4,8348,45870,18.2,10631,46711,22.76
Bayfield County,7,1845,11683,15.79,2373,13822,17.17,2470,14008,17.63,2464,15013,16.41,3112,15014,20.73,4826,16220,29.75
Brown County,9,12947,158244,8.18,16823,175280,9.6,21007,194594,10.8,24214,226778,10.68,28789,248007,11.61,42279,268740,15.73
Buffalo County,11,1969,13743,14.33,2293,14309,16.02,2263,13584,16.66,2313,13804,16.76,2459,13587,18.1,2982,13317,22.39
Burnett County,13,1789,9276,19.29,2282,12340,18.49,2661,13084,20.34,3178,15674,20.28,3569,15457,23.09,4914,16526,29.73
Calumet County,15,2397,27604,8.68,2987,30867,9.68,3772,34291,11,4370,40631,10.76,5625,48971,11.49,8243,52442,15.72
Chippewa County,17,5306,47717,11.12,6622,52127,12.7,7484,52360,14.29,8037,55195,14.56,8935,62415,14.32,12644,66297,19.07
Clark County,19,4350,30361,14.33,5124,32910,15.57,5460,31647,17.25,5373,33557,16.01,5413,34690,15.6,6218,34659,17.94
Columbia County,21,5600,40150,13.95,6319,43222,14.62,7055,45088,15.65,7567,52468,14.42,8294,56833,14.59,11322,58490,19.36
Crawford County,23,2149,15252,14.09,2518,16556,15.21,2682,15940,16.83,2753,17243,15.97,3062,16644,18.4,3871,16113,24.02
Dane County,25,21914,290272,7.55,27036,323545,8.36,34007,367085,9.26,39869,426526,9.35,50144,488073,10.27,82453,561504,14.68
Dodge County,27,8039,69004,11.65,9960,75064,13.27,11342,76559,14.81,11986,85897,13.95,13251,88759,14.93,16949,89396,18.96
Door County,29,2985,20106,14.85,4003,25029,15.99,4559,25690,17.75,5235,27961,18.72,6245,27785,22.48,9484,30066,31.54
Douglas County,31,5553,44657,12.43,6358,44421,14.31,6807,41758,16.3,6291,43287,14.53,6361,44159,14.4,8810,44295,19.89
Dunn County,33,3663,29154,12.56,4071,34314,11.86,4316,35909,12.02,4475,39858,11.23,5323,43857,12.14,7484,45440,16.47
Eau Claire County,35,7263,67219,10.8,8658,78805,10.99,10594,85183,12.44,11395,93142,12.23,12435,98736,12.59,17894,105710,16.93
Florence County,37,472,3298,14.31,727,4172,17.43,771,4590,16.8,889,5088,17.47,931,4423,21.05,1310,4558,28.74
Fond du Lac County,39,9679,84567,11.45,11031,88964,12.4,12658,90083,14.05,13942,97296,14.33,15225,101633,14.98,19979,104154,19.18
Forest County,41,1058,7691,13.76,1478,9044,16.34,1656,8776,18.87,1930,10024,19.25,1888,9304,20.29,2380,9179,25.93
Grant County,43,5761,48398,11.9,6732,51736,13.01,7264,49264,14.75,7585,49597,15.29,7974,51208,15.57,9684,51938,18.65
Green County,45,3740,26714,14,4184,30012,13.94,4654,30339,15.34,4946,33647,14.7,5497,36842,14.92,7463,37093,20.12
