COUNTY,COUNTYFP,under_5_1970,under_5_1980,under_5_1990,under_5_2000,under_5_2010,under_5_2020,5_to_9_1970,5_to_9_1980,5_to_9_1990,5_to_9_2000,5_to_9_2010,5_to_9_2020,10_to_14_1970,10_to_14_1980,10_to_14_1990,10_to_14_2000,10_to_14_2010,10_to_14_2020,15_to_17_1970,15_to_17_1980,15_to_17_1990,15_to_17_2000,15_to_17_2010,15_to_17_2020,18_and_19_1970,18_and_19_1980,18_and_19_1990,18_and_19_2000,18_and_19_2010,18_and_19_2020,20_1970,20_1980,20_1990,20_2000,20_2010,20_2020,21_1970,21_1980,21_1990,21_2000,21_2010,21_2020,22_to_24_1970,22_to_24_1980,22_to_24_1990,22_to_24_2000,22_to_24_2010,22_to_24_2020,25_to_29_1970,25_to_29_1980,25_to_29_1990,25_to_29_2000,25_to_29_2010,25_to_29_2020,30_to_34_1970,30_to_34_1980,30_to_34_1990,30_to_34_2000,30_to_34_2010,30_to_34_2020,35_to_44_1970,35_to_44_1980,35_to_44_1990,35_to_44_2000,35_to_44_2010,35_to_44_2020,45_to_54_1970,45_to_54_1980,45_to_54_1990,45_to_54_2000,45_to_54_2010,45_to_54_2020,55_to_59_1970,55_to_59_1980,55_to_59_1990,55_to_59_2000,55_to_59_2010,55_to_59_2020,60_and_61_1970,60_and_61_1980,60_and_61_1990,60_and_61_2000,60_and_61_2010,60_and_61_2020,62_to_64_1970,62_to_64_1980,62_to_64_1990,62_to_64_2000,62_to_64_2010,62_to_64_2020,65_to_74_1970,65_to_74_1980,65_to_74_1990,65_to_74_2000,65_to_74_2010,65_to_74_2020,75_to_84_1970,75_to_84_1980,75_to_84_1990,75_to_84_2000,75_to_84_2010,75_to_84_2020,85_and_over_1970,85_and_over_1980,85_and_over_1990,85_and_over_2000,85_and_over_2010,85_and_over_2020
Forest County,41,641,655,670,574,500,493,846,669,639,688,548,533,836,838,613,771,577,541,658,629,459,503,418,310,214,399,275,310,289,166,78,160,120,109,116,93,46,132,114,106,98,77,221,345,282,253,306,219,340,583,558,455,424,401,340,511,580,561,443,443,704,881,1050,1379,1037,886,817,802,837,1236,1368,1049,491,484,436,553,670,759,165,189,187,219,230,324,236,289,300,377,392,505,643,971,912,1076,1017,1383,344,366,583,617,659,776,71,141,161,237,212,221
Grant County,43,4183,4175,3390,2576,2989,2880,5071,3726,3816,3162,3025,3048,5460,4298,3899,3666,2907,3241,2978,3131,2071,2364,1965,1922,2658,2992,2226,2460,2776,2590,1256,1558,1174,1359,1536,1490,1034,1426,1127,1119,1563,1322,2123,3044,2415,2327,2815,2626,2480,3893,3415,2541,2785,2911,2247,3088,3558,2649,2599,2761,4560,4783,6265,7096,5220,5404,4563,4499,4455,6261,7067,5112,2049,2291,2067,2272,3304,3371,823,842,812,884,1157,1490,1152,1258,1310,1276,1526,2086,3267,3646,3861,3758,3917,5417,1942,2286,2487,2692,2769,2945,552,800,916,1135,1288,1322
Green County,45,2122,2324,2159,2143,2354,1926,2728,2367,2453,2487,2508,2182,2858,2507,2322,2651,2511,2620,1631,1749,1335,1627,1580,1501,785,930,758,777,791,754,328,499,305,297,312,360,299,466,310,307,275,304,981,1422,999,873,1012,950,1412,2465,2306,1876,1998,1845,1389,2233,2507,2198,2128,2158,2728,3116,4633,5748,4901,4511,3129,2821,3021,4776,6069,4748,1351,1533,1261,1611,2703,2929,507,561,585,565,979,1174,726,835,731,765,1224,1668,2032,2324,2496,2371,2765,4396,1337,1368,1559,1834,1854,2123,371,492,599,741,878,944
Green Lake County,47,1401,1290,1191,1078,1108,976,1570,1302,1503,1178,1267,1060,1610,1521,1383,1384,1273,1212,963,1038,769,974,740,757,427,548,434,453,394,407,218,242,197,182,173,192,225,232,151,187,158,188,603,803,583,435,486,513,928,1279,1202,897,930,872,758,1188,1420,1088,974,956,1775,1815,2580,3030,2151,2061,1922,1807,1798,2699,3005,2191,972,996,850,1062,1438,1536,439,401,396,346,545,653,562,645,615,518,757,957,1474,1944,1873,1768,1837,2608,834,987,1263,1286,1251,1322,197,332,443,540,564,557
Iowa County,49,1698,1616,1581,1468,1611,1267,2220,1497,1700,1713,1675,1395,2393,1853,1606,1844,1615,1645,1362,1259,874,1146,988,961,487,736,451,526,453,453,231,314,232,208,159,161,186,311,223,176,208,188,697,937,736,594,669,601,924,1508,1573,1249,1306,1124,857,1439,1734,1634,1349,1395,1984,1886,3033,4048,3100,2801,2066,1895,1784,3286,4021,3006,899,1028,880,1004,1766,1991,352,375,336,327,627,789,477,535,540,518,871,1177,1479,1487,1615,1566,1702,2982,775,876,916,1098,1100,1285,219,250,336,375,467,488
Iron County,51,376,432,310,274,213,199,515,396,366,352,248,197,644,460,414,436,303,297,406,342,221,272,217,189,164,215,124,146,98,83,61,84,60,61,40,36,63,90,55,39,37,48,181,285,156,160,115,97,231,445,368,272,217,201,258,386,427,347,236,266,641,600,798,1075,636,543,852,673,640,976,1024,761,533,446,302,432,508,573,170,175,160,177,194,276,261,315,252,251,328,416,713,876,844,805,713,1130,340,401,503,573,526,572,124,109,153,213,263,253
Jackson County,53,1150,1328,1164,1078,1252,1275,1541,1241,1279,1255,1294,1282,1734,1360,1340,1440,1277,1409,1054,1003,719,830,808,763,449,569,442,479,438,402,161,231,204,254,202,170,153,202,167,262,201,183,468,750,501,692,664,578,759,1195,1073,1205,1215,1203,704,1156,1285,1308,1267,1349,1480,1729,2331,3097,2638,2527,1784,1592,1647,2510,3183,2627,953,869,795,1002,1430,1598,320,366,316,328,569,664,489,535,485,516,708,943,1274,1613,1567,1426,1832,2466,679,802,985,1011,1044,1278,173,290,288,407,427,428
Jefferson County,55,4935,4818,4685,4695,5235,4330,5858,4954,5066,5022,5590,4929,6015,5372,4931,5553,5537,5640,3445,3764,2890,3387,3495,3652,2927,3526,3151,2027,3153,3132,1155,1448,1274,908,1475,1106,934,1215,937,825,1053,990,2651,3429,2690,2545,2908,2517,3760,5221,5212,4688,4944,4521,3245,4720,5482,5354,5130,5038,6103,7368,9941,12457,11056,10572,6309,6129,7122,10429,12747,10908,2984,3081,2726,3702,5650,6430,1071,1134,1124,1294,1998,2562,1537,1784,1725,1776,2673,3401,4198,4823,4848,4752,6103,9243,2314,2591,3073,3366,3441,4474,619,775,906,1241,1498,1455
Juneau County,57,1449,1654,1532,1429,1457,1300,1955,1655,1715,1691,1548,1405,2075,1680,1686,1869,1622,1603,1197,1296,981,1193,1046,1023,482,685,484,569,555,456,180,313,222,244,228,255,208,251,182,233,230,238,605,861,650,631,816,690,903,1436,1614,1196,1498,1409,919,1282,1610,1436,1480,1508,1886,2162,2762,3838,3387,3152,2009,2073,2217,3275,4447,3532,996,1140,1072,1374,1915,2220,392,454,443,524,697,963,558,763,683,736,1061,1310,1573,2046,2144,2134,2612,3346,854,1012,1235,1437,1441,1713,214,276,418,507,624,595
Kenosha County,59,10479,8819,10124,10367,10995,9088,13280,9274,9785,11640,11850,10252,12662,10535,9172,11826,12310,11444,6858,7489,5252,6669,7674,6915,4247,5013,4008,4437,5355,5285,1876,2488,1946,2208,2589,2747,1616,2257,1736,1980,2396,2495,5001,6644,5542,5380,6322,6258,7725,10382,10844,9747,10377,10598,6741,8949,11240,11068,10496,10955,12730,14035,18647,26061,23207,20835,13366,12162,13087,19257,26162,21970,5482,6339,5286,6649,10248,13064,1987,2304,2151,2196,3352,4805,2649,3163,3168,2923,4414,6727,6756,7976,9261,8791,9740,15645,3677,4057,5249,6209,6142,7207,785,1251,1683,2169,2797,2861
